기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요
20170101,20170101,깜빵안가려고 이정도 발악은 해줘야지 끝까지 추하구나,618,24
20170101,20170101,이런식으로 지금까지 살아온 것이죠,1980,49
20170101,20170101,아...재수없어,296,16
20170101,20170101,엮였다? 대통령 표현하고는....수준이 딱 순시리네...,2260,58
20170101,20170101,병신년이 가니 빙딱년이 왔나? 괴발광을 해라.,523,26
20170101,20170101,새해부터 저 면상봐라. 증말 가증스럽닭,278,16
20170101,20170101,네 말을 누가 믿겠냐?,282,15
20170101,20170101,아이고 참.. 구차스럽네,662,26
20170101,20170101,거짓말투성이!,1747,49
20170101,20170101,역겹다...,2175,55
20170101,20170101,뭐래??ㅋ,5705,141
20170101,20170101,미친개는 몽둥이가 약ㅇ ㄴ데 미친닭은 뭐가 약일까! 뽕?,484,25
20170101,20170101,그만합시다 제발 !!!!!국민들은 더이상 그런  헛소리에  놀아나지 않습니다 손으로 하늘을 가리려 합니까?,1025,33
20170101,20170101,안믿겨용,1416,50
20170101,20170101,나는 악마를 보았다,328,1
20170101,20170101,이제 국가를 위해 국민을 위해 내려오세요,1733,28
20170101,20170101,새해부터  헛소리는 안들었으면한다,709,7
20170101,20170101,근데 왜 촬영도 녹음도 기록도 못하게 했을까? 왜그래쓰까?,2455,27
20170101,20170101,기자들은 다음부터는 보이콧해라. 듣기 싫다.,788,7
20170101,20170101,녹화 편집해서 방송햇다는데~  그냥 언론을 이용해서 여론조작에 들어가네요~,1871,32
20170101,20170101,입만열면  거짓말,660,7
20170101,20170101,닭쳐 !!!,286,1
20170101,20170101,파면 당해도 저딴소리 나오는가 보자~,680,7
20170101,20170101,그러니까 대통년 이란말이 나오는겁니다,631,8
20170101,20170101,항상 부끄러움은 우리 몫 ....,7164,92
20170101,20170101,이판사판 막 나가기로 한 모양이네,1672,27
20170101,20170101,아 더럽게 질척거리네,2278,30
20170101,20170101,소심있게 국정 운영한게 이따구냐?,1949,29
20170101,20170101,새해 벽두부터 헐;;,1526,22
20170101,20170101,역시 미친닭이다...,2106,31
20170101,20170101,그렇게 억울하면서 약속한 검찰 조사는 왜 안받으세요?,798,6
20170101,20170101,신년 부터  재수없게  나와서  지랄이야 저것을  정신대  보냈어야 하는데   아깝네   씨ㅂ,322,6
20170101,20170101,ㅇㅂ!! 하고있네!!!!! ㅂㅅ!!!!!!,1323,22
20170101,20170101,진짜 사태파악을 못하는거냐?? 아니면 진짜 돌대가리라 모르는거냐?? 아니면 난 '아몰랑' 이거냐?? 그냥 아예 나랑은 상관 없어 관심없어냐??? 미친년도 저런 미친년이 또 있을까 ㅡㅡ??,310,2
20170101,20170101,시끄럽다!!!! 그냥 디비져 잠이나 자라 청와대 난방비도 아깝다,2010,51
20170101,20170101,생중계로 안하면 기자들이랑 짜고치는 고스톱,2281,51
20170101,20170101,기자간사님들... 보이콧해야합니다.,485,16
20170101,20170101,질문지에 있는것만 질문해주세요  기자님들 질문지에 없는건 대답 못합니다 못외웠거든요,782,26
20170101,20170101,카메라.노트북 다 불허? 정말 엿같은 닭!,1331,40
20170101,20170101,보이콧해라.   기자단이 배경이냐? 들러리냐?,2530,54
20170101,20170101,자진사퇴하시길 바랍니다.,709,30
20170101,20170101,헐..웃기지도 않네. 기자님들 기지마소!,454,17
20170101,20170101,노트북.카메라.중계도 없이 무슨 기자간담회???  뭐하자는 거냐??????  사진한장도 못찍는 기자간담회?????  이 여자 뭐하는 여자냐  이 또한 직권남용이다!!!,1517,36
20170101,20170101,또 혼자 지껄이겠군!!!,756,24
20170101,기자들 카메라도 노트북도 반입안되는데 보이콧해라.무슨 정치쇼냐?,,697,25
20170101,20170101,변명들어주러 가는거 하지 마시오!,508,16
20170101,20170101,질기고 질기다 부역자들이 끝까지 감싸네 도대체 아몰랑,1699,43
20170101,20170101,기자들 안가는게 좋을꺼다,8698,215
20170101,20170101,기자들  실황중계 안하면 보이콧트해라,295,12
20170101,20170101,카메라 안되는게 요즘 주사 김영재랑 아줌마가 방문 못해서 얼굴이 원점으로 돌아와서  흉해서 아닐까?란 생각이 드네요.,1977,44
20170101,20170101,기자님이 단체로 거부했음 좋겠다,2665,49
20170101,20170101,노트북ᆞ촬영금지 ? 기자는 왜 만나? 기사쓰지말라는 얘기잖아 !,5571,126
20170101,20170101,,391,13
20170101,20170101,"이번에는 또 무슨 어그로를 끌려고.... 아줌마, 휴일에는 그냥 쉬세요!",629,24
