,text
167,"변화에 대처하는 자가 승리하는 법~~^^
누구 추억거리  둘려고 노량진 가서 공부하냐"
168,세상이 바뀌어가고 있구나.....
169,아~저렇게 약자들 눈에 피눈물 나게 하는 인간들을 위한 지옥은 꾝 있으면 좋겠다~.
170,"가해자의 재산이
피해자 보상에 쓰여지는건
진짜 좋은 법률이네요"
171,그래도 죄값을 받고 죽었지만 한국엔 김학의를 비롯해 아직도 감옥도 안가고 살고 있는 자들이 많지요
172,창수야 나 기자 맞냐? '''금융인 제프리 엡스타인의 피해자가 자신의 아들이 보는 앞에서''  보통 무슨 사건의 피해자라고 쓰는거야... 도둑놈의 피해자라고 쓰는게 아니라 도둑질의 피해자 라고 쓰는거야. 요즘 기자들은 시험 안보냐?
173,우리도 가해자 재산을 피해자에게 배상해 주는 법을 만들어야 한다.
174,"김학의 피해자가 생각 나네

김학의 별장 사건이 처벌 받지 않은 건

대한민국이 검새 무법 공화국임을 증명한 거다"
175,"이런놈을 감옥에 집어넣은 미국의
사법부를 존경한다.
우리도 막강한 힘을 가진 자라도
잘못을 저지르면
감옥에  넣길 바란다"
176,트럼프 찍었던 미국사람들이나....박형준 오세훈 지지하는 서울 부산시민 들이나.....
177,"참 지저분하게 살다가 감옥에서 죽었는데, 죽어서도 남긴  쓰레기를 치울려면 아직 멀었네"
178,우리나라 검사 였으면 기소유예
179,진보는 조금만 못해도 난리고 보수는 많이 못해야 난리다 아무리 이 정권이 문제가 있어도 보수정권보다는 훨씬 잘하고 있다 벌써 망각의 기억에 들어섰는가? 언론이 우리 눈을 속이고 역사를 제 마음대로 만들고 있다
180,표창원 의원. 이시대의 양심. 의로운 정치인
181,버거워서 물러났으면 닥치고 계시라 아직도 싸우고 있는 정치인과 국민들에거 부끄럽지도 않은가??
182,털자고 달려드면 공정시비잣대를 비켜갈자가 몇이나 될런지...
183,난 여당편이 아니라  표창원 편~~
184,팩트체크 문재인정부가 돈을 많이 쓴다? 왜 기레기들이라 하는가? 문재인정부 재난지원금등으로 국가부채 2020년까지 3년동안 7.5프로 증가했다 지금 깜빵에서 세금축내고 있는 것들까지 2016년도 까지 문재인정부 이전 20년동안 나라빚이 자그만치 340프로나 이미 올라갔다 1년평균이 14프로 나라빚증가률이다 뭐로 설명할래? 이 미친것들아 대선때마다 수천억씩 뿌려대는둥 나라걸덜내고 국가부도내어서 국민전체를 거지만든것들이 그때에도 쌍으로 깜빵가고도 정신못차리고 차때기등으로 지들배댓지만 불리고 북풍ㆍ총풍 별짓을다하더니 어떻게 변한것이 없냐
185,표창원씨가 말 할 자격이  있는지?
186,"여당 야당을

떠나서

국찜이 더 부정부패 

하다는 사실은

변하지않는 진리"
187,정치하는것들 모조리 더럽다~
188,"한때 당신을 참 좋아했었고 맘속으로나마 응원했었는데 어느순간 혼자 백로인척 떠나더이다
진정 올바른 생각을 갖고있다면 진흙탕속에서 싸우면서 국민들을 위해 일해야하는거 아닐까요
결국 도피한사람은 평가할 자격도 없는법
말로만 하는 정치는 누구든 할사람 많습니다"
189,"대한민국 건국이래로
이런 정치인은 수없이 많았다
자기만 백로 인거 처럼 생각하는 자들"
190,표창원씨!! 도대체 조국 교수의 무슨 점이 문제가 된다는 거요?  한가지라도 좀 구체적으로 말해 봅시다. 기레기들의 악의적인 오보에는 한마디도 못하면서 고작 이런식의 인터뷰나 하니 참 안타깝소. 이렇게 살걸 뭐하러 정치에는 나왔소. 그냥 경찰대 교수로 살지
191,그래도 국짐보다는낫다
192,창원이형 최고
193,"국짐한테는 언제나 대고 말할건데?
비겁한자!
왜 민주당만 더더 채찍질 당해야 하는데?
기가?막히는 발언!
당신만 지식인이라 생각마라
국민도 당신만큼 아니 당신 보다 더 판단력 있다!"
194,아 난 이렇게 뒤통수 차는 인간들이 제일 싫어. 본인만 깨끗하고 옳은척..
195,그래서 방송국 3사 돌면서 돈을 갈퀴로 긁고  계시나요.
